music_id,track_id,danceability,energy,key,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo
0,0,80,83,11,major,4,31,0,8,89,125
1,1,71,74,1,major,4,7,0,10,61,92
2,2,51,53,5,major,6,17,0,31,32,138
3,3,55,72,9,major,15,11,0,11,58,170
4,4,65,80,9,minor,6,14,63,11,23,144
5,5,92,58,1,major,24,19,0,8,66,141
6,6,67,76,5,minor,3,48,0,8,83,148
7,7,67,71,5,major,4,37,0,11,26,100
8,8,85,62,1,minor,9,12,0,28,22,130
9,9,81,48,2,minor,33,21,0,8,56,170
10,10,57,72,6,minor,5,23,0,27,56,83
11,11,78,82,5,minor,7,18,0,15,52,150
12,12,71,68,-1,major,7,6,0,3,65,118
13,13,51,43,2,minor,3,83,0,9,32,130
14,14,52,73,6,minor,6,34,0,31,66,174
15,15,64,73,8,major,4,5,17,16,43,89
16,16,78,59,11,minor,3,43,0,34,76,120
17,17,44,9,-1,major,3,96,0,10,14,78
18,18,86,66,11,major,16,14,0,12,67,100
19,19,63,73,7,major,4,0,0,36,36,120
20,20,65,74,5,minor,4,22,0,42,87,140
21,21,69,76,6,major,3,6,0,6,82,123
22,22,48,42,-1,minor,3,12,2,11,44,135
23,23,85,67,5,minor,5,26,0,12,81,133
24,24,85,68,1,major,20,7,0,36,83,99
25,25,79,86,7,minor,9,9,0,9,96,130
26,26,80,80,11,major,4,43,0,14,82,107
27,27,81,71,6,minor,4,14,0,56,74,122
28,28,52,68,6,major,4,46,0,15,52,204
29,29,67,85,11,minor,5,2,0,33,78,110
30,30,74,84,5,minor,6,0,0,11,35,126
31,31,56,87,6,major,5,39,0,11,63,168
32,32,71,61,1,minor,5,36,0,8,17,98
33,33,64,63,4,major,5,12,0,19,51,97
34,34,72,63,4,minor,28,67,0,9,61,180
35,35,81,68,-1,major,4,11,0,11,63,120
36,36,61,73,6,major,3,37,0,11,39,150
37,37,75,68,5,major,6,9,0,13,57,96
38,38,60,79,2,major,4,0,0,12,48,95
39,39,79,85,5,minor,6,27,0,11,96,125
40,40,56,65,9,minor,6,23,0,10,84,144
41,41,76,50,2,major,5,54,0,7,91,90
42,42,56,97,7,minor,4,4,0,35,38,128
43,43,56,56,6,major,10,37,0,11,58,79
44,44,77,58,-1,major,25,52,0,23,75,144
45,45,67,64,5,major,3,10,0,10,49,122
46,46,71,81,-1,major,5,11,0,6,82,140
47,47,59,52,1,minor,7,9,0,15,51,134
48,48,68,59,7,major,28,16,0,13,49,186
49,49,53,53,1,minor,7,23,0,44,50,67
50,50,72,64,10,minor,5,7,0,10,17,106
51,51,60,91,7,major,3,0,0,12,23,128
52,52,92,70,6,minor,7,18,0,15,55,107
53,53,67,88,7,minor,4,12,19,8,96,130
54,54,45,54,4,minor,4,70,0,9,13,123
55,55,50,80,1,major,7,0,0,9,38,171
56,56,64,72,7,minor,5,51,0,17,88,137
57,57,84,68,7,minor,4,58,0,22,85,125
58,58,86,72,-1,minor,19,59,0,9,42,128
59,59,61,58,-1,minor,4,55,0,27,53,130
60,60,86,96,11,major,5,50,1,9,59,130
61,61,70,81,5,major,5,25,0,25,86,133
62,62,88,59,2,major,3,62,0,9,72,101
63,63,77,64,5,minor,14,74,0,17,53,95
64,64,90,59,1,minor,29,0,0,10,40,98
65,65,43,66,11,major,3,0,0,23,28,173
66,66,64,62,8,major,7,7,0,48,10,90
67,67,59,42,10,minor,7,55,0,10,71,198
68,68,56,73,1,major,4,0,0,35,48,140
69,69,51,53,8,major,3,1,0,15,22,82
70,70,77,89,1,minor,5,17,0,43,84,130
71,71,76,53,11,major,9,44,0,9,53,81
72,72,51,59,1,minor,3,65,18,25,14,94
73,73,61,81,10,major,3,5,2,10,41,124
74,74,62,78,2,major,4,1,3,23,55,128
75,75,49,62,5,minor,3,9,0,11,42,138
76,76,58,48,4,major,3,50,0,12,27,132
77,77,71,47,2,major,9,1,0,27,24,131
78,78,78,73,6,minor,7,5,0,10,58,168
79,79,68,79,1,major,6,33,0,30,40,98
80,80,48,73,1,major,4,43,0,15,50,102
81,81,34,57,10,major,3,78,0,20,32,101
82,82,63,34,5,major,9,76,0,35,36,130
83,83,50,64,2,major,3,1,0,12,20,142
84,84,59,76,1,major,5,4,0,10,48,170
85,85,78,68,8,minor,4,3,1,11,70,124
86,86,50,41,1,major,3,75,0,11,45,110
87,87,91,71,1,minor,8,9,0,9,43,92
88,88,82,66,2,major,7,39,51,25,40,116
89,89,63,82,9,major,7,70,8,9,84,129
90,90,71,60,8,major,3,19,0,12,67,98
91,91,74,76,1,minor,9,6,0,10,76,172
92,92,68,76,2,major,4,4,0,10,14,150
93,93,62,53,9,minor,4,11,0,6,19,136
94,94,53,47,1,minor,4,9,0,83,34,88
95,95,83,44,3,major,33,15,0,10,69,143
96,96,49,35,6,minor,3,71,9,11,17,100
97,97,56,55,5,major,13,14,0,11,39,143
98,98,56,66,1,minor,3,7,0,12,24,112
99,99,62,59,7,major,3,3,0,38,57,93
100,100,43,55,7,major,10,50,0,15,50,206
101,101,68,71,7,minor,5,15,0,11,17,88
102,102,50,90,2,major,5,0,0,12,37,170
103,103,62,67,4,minor,28,21,0,13,24,84
104,104,81,72,4,minor,5,51,0,12,53,134
105,105,54,40,10,major,6,61,0,10,50,158
106,106,80,80,1,major,3,4,0,10,92,116
107,107,61,69,1,major,3,2,0,9,45,117
108,108,77,72,5,minor,5,2,0,7,65,114
109,109,61,68,2,minor,3,0,0,13,47,108
110,110,74,53,4,minor,10,7,0,21,37,144
111,111,51,44,5,major,3,76,0,11,18,130
112,112,77,62,11,major,3,33,1,15,79,116
113,113,65,78,7,major,4,0,0,17,49,121
114,114,64,81,7,major,6,36,0,11,54,112
115,115,70,52,10,minor,33,30,0,6,47,100
116,116,55,78,3,minor,8,24,0,12,30,150
117,117,84,71,5,minor,17,18,0,34,96,120
118,118,82,85,11,minor,6,4,0,23,89,127
119,119,51,61,5,major,3,53,0,9,42,90
120,120,75,63,9,minor,4,33,0,15,79,128
121,121,64,87,9,major,4,4,4,8,31,143
122,122,74,68,8,major,4,3,0,26,68,139
123,123,49,64,10,major,4,19,0,11,78,162
124,124,81,60,-1,major,3,31,0,7,39,92
125,125,87,55,5,major,7,10,0,29,57,95
126,126,63,93,2,major,8,3,0,10,88,146
127,127,55,82,-1,major,5,12,0,34,56,95
128,128,35,30,4,minor,3,93,0,10,12,115
129,129,78,65,11,major,5,10,0,26,59,128
130,130,82,83,4,minor,5,3,0,27,69,130
131,131,80,77,9,minor,4,36,0,11,74,127
132,132,42,86,2,major,9,21,0,9,20,150
133,133,78,63,2,minor,5,27,0,9,50,122
134,134,52,85,-1,major,5,0,0,7,20,140
135,135,63,54,-1,major,8,46,0,12,22,140
136,136,75,53,1,minor,34,18,0,18,48,119
137,137,76,72,7,minor,4,32,0,9,96,110
138,138,60,45,8,major,2,16,0,11,17,95
139,139,56,55,6,major,3,45,1,32,20,132
140,140,77,78,10,minor,11,4,0,23,74,125
141,141,84,50,3,minor,6,67,0,13,65,124
142,142,93,65,11,minor,25,42,0,12,68,133
143,143,92,66,7,major,9,0,0,36,67,112
144,144,79,89,-1,major,5,5,0,6,92,97
145,145,59,48,5,minor,11,38,5,10,52,90
146,146,65,69,3,minor,4,8,0,53,27,80
147,147,45,59,9,major,3,6,0,8,33,172
148,148,60,35,4,major,3,73,0,31,24,120
149,149,74,80,7,minor,5,18,0,5,96,140
150,150,81,77,9,minor,5,1,0,9,90,128
151,151,78,81,-1,major,5,57,0,10,70,122
152,152,47,92,-1,major,24,8,0,5,86,130
153,153,69,71,9,major,20,33,0,31,61,160
154,154,73,70,5,major,5,6,0,28,87,144
155,155,50,52,11,major,6,11,0,28,85,192
156,156,54,67,-1,major,17,0,0,9,40,163
157,157,66,71,1,minor,4,6,0,12,48,122
158,158,61,74,2,major,6,21,0,40,41,154
159,159,73,69,9,minor,4,6,0,11,31,117
160,160,78,83,7,minor,5,10,0,12,89,138
161,161,86,80,-1,major,6,33,0,8,74,96
162,162,77,63,1,major,5,1,0,36,36,104
163,163,45,62,8,major,3,8,0,16,24,164
164,164,68,82,-1,major,3,2,0,50,61,118
165,165,68,60,11,minor,10,3,0,19,51,81
166,166,82,45,1,major,3,54,0,7,73,117
167,167,45,37,2,major,4,97,25,64,10,174
168,168,73,77,1,major,4,3,0,11,60,128
169,169,60,27,-1,major,4,94,0,14,43,145
170,170,65,55,1,minor,3,73,0,14,51,150
171,171,60,53,9,minor,4,4,0,21,13,90
172,172,55,53,5,major,3,17,0,22,42,85
173,173,33,71,3,major,5,20,0,28,38,180
174,174,57,94,1,major,9,11,0,37,84,166
175,175,71,50,8,major,22,16,0,16,40,160
176,176,65,80,7,major,16,5,0,41,95,160
177,177,70,63,2,major,4,4,0,8,81,92
178,178,56,64,-1,major,6,11,0,45,53,170
179,179,83,65,1,minor,8,58,0,9,93,96
180,180,67,52,8,major,4,86,0,12,40,120
181,181,70,54,-1,major,8,6,0,9,37,98
182,182,53,34,7,major,4,1,0,12,12,92
183,183,34,56,9,major,3,4,0,11,24,150
184,184,37,47,5,major,3,2,46,11,17,94
185,185,74,63,4,minor,5,26,0,27,36,90
186,186,54,55,9,major,11,67,0,42,54,160
187,187,70,75,-1,major,4,24,0,9,59,120
188,188,63,85,5,major,5,1,0,9,46,109
189,189,57,66,4,minor,5,63,0,12,41,129
190,190,54,60,7,major,5,30,0,7,75,157
191,191,63,73,6,major,3,5,0,9,49,130
192,192,65,72,5,minor,25,10,0,13,19,107
193,193,50,89,11,minor,8,0,0,19,67,146
194,194,48,41,9,minor,10,32,0,10,37,139
195,195,74,70,-1,major,3,7,0,13,76,116
196,196,84,77,6,minor,4,12,0,7,52,95
197,197,62,80,8,minor,7,15,0,37,55,170
198,198,81,64,6,minor,11,3,0,10,18,134
199,199,57,90,6,minor,5,2,0,9,86,84
200,200,61,48,11,minor,6,21,0,12,20,146
201,201,53,67,10,minor,28,11,0,10,24,74
202,202,75,48,11,major,12,84,0,10,35,144
203,203,77,73,11,minor,10,15,0,27,79,136
204,204,56,55,4,major,4,53,0,12,53,100
205,205,89,78,5,minor,33,9,0,7,67,105
206,206,67,78,5,major,4,15,0,30,24,106
207,207,85,68,2,major,4,40,0,9,53,132
208,208,78,30,9,major,5,21,0,13,5,120
209,209,82,39,1,major,49,2,0,9,51,155
210,210,70,43,8,major,3,78,0,11,42,129
211,211,80,74,5,minor,9,62,0,8,85,135
212,212,73,62,10,minor,13,28,0,13,45,98
213,213,84,39,9,minor,4,3,0,11,64,124
214,214,77,55,9,minor,15,18,0,22,28,135
215,215,78,53,2,major,6,30,0,11,39,107
216,216,54,74,2,major,11,14,0,9,25,96
217,217,71,70,8,major,19,30,0,32,58,123
218,218,62,62,8,major,6,6,0,58,7,90
219,219,72,59,5,minor,21,14,0,20,45,117
220,220,78,84,9,minor,4,31,0,7,90,133
221,221,74,83,8,minor,6,11,0,35,61,96
222,222,66,60,8,major,13,40,0,14,85,149
223,223,66,40,6,minor,3,81,0,11,32,110
224,224,95,52,6,major,16,3,0,5,62,105
225,225,80,78,1,major,14,28,0,11,69,105
226,226,76,58,11,major,3,6,0,16,61,134
227,227,71,56,4,minor,12,4,0,27,59,170
228,228,59,60,6,major,13,46,1,25,26,81
229,229,63,92,6,major,5,31,0,91,75,154
230,230,69,51,1,major,4,63,0,38,69,169
231,231,78,69,7,major,14,4,0,7,64,115
232,232,43,74,9,minor,8,1,0,19,14,84
233,233,79,62,8,major,23,11,0,11,58,93
234,234,82,62,7,major,15,10,0,10,47,91
235,235,82,44,10,minor,7,6,0,33,54,142
236,236,78,70,1,major,4,1,0,16,20,126
237,237,73,44,10,major,8,26,0,16,10,97
238,238,92,51,5,major,8,41,51,26,59,101
239,239,80,48,7,minor,5,14,0,6,23,98
240,240,59,89,6,major,9,18,0,80,63,154
241,241,91,58,9,major,22,52,0,31,63,120
242,242,49,55,11,major,3,7,0,6,4,150
243,243,47,78,9,major,8,11,0,10,27,174
244,244,34,51,10,major,4,69,0,18,25,202
245,245,56,52,11,minor,24,5,0,36,42,153
246,246,60,37,5,major,3,58,0,13,13,142
247,247,84,47,9,minor,64,26,0,20,55,108
248,248,83,69,11,major,12,4,0,23,25,143
249,249,67,67,2,major,5,60,0,80,55,108
250,250,95,66,5,minor,6,3,0,4,78,104
251,251,84,79,6,minor,11,43,0,18,96,93
252,252,65,53,6,minor,5,16,0,9,46,105
253,253,44,32,8,major,5,89,0,14,27,170
254,254,62,66,1,minor,5,18,0,12,56,178
255,255,50,76,6,minor,5,10,0,32,44,176
256,256,80,88,4,minor,5,11,0,11,38,104
257,257,70,84,7,major,30,31,0,47,83,85
258,258,77,58,6,minor,5,39,0,26,69,117
259,259,52,48,-1,major,39,86,0,15,57,80
260,260,44,41,5,major,5,50,0,38,36,98
261,261,79,78,1,minor,25,34,0,11,58,178
262,262,51,33,9,major,3,48,0,22,27,148
263,263,77,66,2,major,3,65,0,38,94,120
264,264,68,88,4,minor,5,1,0,8,38,122
265,265,74,73,5,major,4,42,0,9,75,144
266,266,93,47,2,major,36,33,0,10,47,96
267,267,77,88,8,major,9,16,0,17,35,137
268,268,94,61,6,minor,42,12,0,53,71,121
269,269,60,57,9,minor,3,1,0,50,10,119
270,270,72,47,2,major,4,71,0,13,40,96
271,271,87,52,1,major,5,66,1,11,53,111
272,272,90,68,9,major,19,14,0,10,74,148
273,273,57,59,9,major,5,8,0,6,80,182
274,274,79,86,2,major,9,28,0,4,82,141
275,275,76,81,4,minor,9,19,0,6,80,145
276,276,76,70,11,minor,6,1,0,41,26,110
277,277,70,41,7,major,3,41,0,10,35,134
278,278,92,62,7,major,10,18,0,6,78,130
279,279,84,53,10,major,7,35,0,8,88,145
280,280,69,90,11,minor,4,1,10,15,36,130
281,281,59,53,-1,major,3,12,0,23,69,173
282,282,75,76,11,minor,15,25,0,10,55,92
283,283,56,87,5,minor,4,0,1,10,57,105
284,284,59,64,7,minor,10,43,90,12,15,175
285,285,80,70,7,minor,4,22,0,9,33,120
286,286,70,48,3,minor,5,37,0,12,77,139
287,287,59,82,-1,minor,6,12,0,12,56,132
288,288,32,74,10,major,3,14,0,17,17,114
289,289,54,48,11,minor,5,36,0,37,19,145
290,290,82,69,-1,major,4,0,0,18,67,110
291,291,89,66,8,major,16,17,0,36,61,94
292,292,45,60,1,major,4,21,0,33,17,134
293,293,62,76,7,major,4,0,0,39,32,120
294,294,70,68,7,minor,4,24,0,11,86,123
295,295,77,71,10,major,4,35,0,15,84,131
296,296,70,73,2,major,26,1,0,36,6,171
297,297,80,76,4,minor,6,2,0,20,64,130
298,298,82,67,11,major,8,34,0,9,53,94
299,299,73,57,7,minor,6,39,0,32,44,89
300,300,65,56,5,minor,20,4,0,15,71,87
301,301,72,78,11,minor,30,55,0,15,79,124
302,302,71,65,8,major,32,51,0,22,80,78
303,303,70,79,8,major,10,7,0,18,70,120
304,304,48,80,6,minor,20,40,0,37,50,96
305,305,73,86,7,major,4,31,0,12,22,106
306,306,78,46,2,minor,35,62,0,12,75,170
307,307,67,76,11,minor,7,8,47,30,11,134
308,308,71,73,10,major,5,30,0,11,90,115
309,309,74,87,6,major,3,45,0,30,79,130
310,310,65,79,-1,major,3,3,0,10,63,118
311,311,59,38,7,major,3,42,0,12,22,110
312,312,72,66,9,major,4,18,4,19,42,100
313,313,70,79,7,minor,7,26,0,11,76,142
314,314,64,37,-1,major,7,72,0,12,18,140
315,315,90,73,7,major,4,62,0,9,96,116
316,316,73,85,9,major,3,25,0,61,64,120
317,317,76,79,5,minor,6,31,0,7,46,92
318,318,81,79,8,minor,3,5,0,31,64,110
319,319,71,97,10,major,11,1,0,13,57,120
320,320,63,61,8,major,6,9,0,56,40,80
321,321,95,69,5,minor,31,47,0,9,43,115
322,322,58,67,10,major,4,65,0,13,46,76
323,323,60,78,6,major,6,45,0,12,77,172
324,324,40,56,10,major,5,69,0,9,45,99
325,325,36,57,-1,minor,8,9,0,14,12,136
326,326,90,14,8,minor,10,67,35,11,64,150
327,327,71,31,10,minor,5,79,0,10,41,92
328,328,77,87,1,major,5,17,0,7,72,95
329,329,83,83,11,minor,5,21,0,10,58,102
330,330,70,55,-1,minor,6,43,0,16,34,145
331,331,50,86,9,major,4,0,0,64,24,110
332,332,64,77,-1,major,6,46,0,38,30,95
333,333,68,82,11,minor,13,53,0,9,81,94
334,334,61,91,7,major,3,0,0,26,92,142
335,335,59,74,6,minor,5,1,0,15,20,145
336,336,64,80,6,minor,3,0,0,36,67,121
337,337,66,76,3,minor,3,49,0,12,43,140
338,338,84,67,1,minor,6,8,0,11,44,137
339,339,56,85,8,major,3,0,0,15,72,104
340,340,57,76,5,major,3,7,0,33,68,92
341,341,74,45,2,minor,38,86,0,21,51,146
342,342,56,43,2,major,4,89,0,12,20,120
343,343,68,81,2,major,4,9,0,8,83,144
344,344,59,56,9,major,3,80,0,6,44,94
345,345,73,79,8,major,6,5,2,11,65,94
346,346,79,74,7,minor,5,8,0,11,66,113
347,347,50,76,4,major,3,12,0,12,49,148
348,348,70,73,1,major,26,12,0,11,29,98
349,349,58,38,11,major,4,91,0,10,26,140
350,350,36,28,7,major,3,81,0,18,28,100
351,351,86,79,6,major,29,39,0,11,68,140
352,352,59,94,4,minor,23,27,0,29,78,100
353,353,59,65,9,minor,3,2,0,13,49,100
354,354,87,70,-1,minor,5,42,0,21,82,132
355,355,49,67,2,major,3,10,0,26,48,142
356,356,72,63,4,minor,7,25,0,21,96,176
357,357,53,70,6,major,3,49,0,14,51,140
358,358,55,90,3,minor,6,1,0,32,40,105
359,359,81,77,5,major,3,75,0,35,97,135
360,360,82,59,4,minor,4,30,0,12,61,128
361,361,74,69,5,major,7,12,0,12,43,101
362,362,88,50,10,major,5,7,0,14,43,122
363,363,76,56,-1,minor,13,80,12,10,49,105
364,364,53,36,1,major,33,73,0,11,40,83
365,365,72,76,11,minor,28,24,0,42,59,77
366,366,75,25,11,minor,26,78,0,11,18,140
367,367,65,95,1,major,5,31,0,92,72,158
368,368,75,65,7,major,32,15,0,11,43,176
369,369,73,57,11,major,2,56,0,5,88,98
370,370,66,40,11,minor,3,72,0,11,47,107
371,371,66,57,5,minor,3,10,1,12,16,109
372,372,84,74,10,minor,7,10,0,34,72,109
373,373,53,81,-1,major,4,5,0,36,61,148
374,374,60,76,6,minor,5,17,0,19,52,158
375,375,74,73,5,minor,6,6,0,10,64,94
376,376,70,51,6,minor,4,35,0,10,40,96
